Gene	Ensembl	Uniprot
AATF	ENSG00000275700	Q9NY61
ABCA12	ENSG00000144452	Q86UK0
ABCC4	ENSG00000125257	O15439
ABCC8	ENSG00000006071	Q09428
ABCF3	ENSG00000161204	Q9NUQ8
ABHD14B	ENSG00000114779	Q96IU4
ABTB1	ENSG00000114626	Q969K4
AC004556.3	ENSG00000276345	
AC008162.2	ENSG00000278646	
AC012254.6	ENSG00000288607	Q3SY89
AC012254.7	ENSG00000288631	Q8NG57
AC022150.4	ENSG00000269825	
AC087721.2	ENSG00000285920	
AC090373.2	ENSG00000288616	A6NLF2
AC138696.1	ENSG00000264668	
AC245033.1	ENSG00000260836	
ACACA	ENSG00000278540	Q13085
ACADVL	ENSG00000072778	P49748
ACOX1	ENSG00000161533	Q15067
ACOXL	ENSG00000153093	Q9NUZ1
ACSL3	ENSG00000123983	O95573
ACTL6B	ENSG00000077080	O94805
ACVR1	ENSG00000115170	Q04771
ADAMTS12	ENSG00000151388	P58397
ADAR	ENSG00000160710	P55265
ADPRHL1	ENSG00000153531	Q8NDY3
ADTRP	ENSG00000111863	Q96IZ2
AEN	ENSG00000181026	Q8WTP8
AFF4	ENSG00000072364	Q9UHB7
AGER	ENSG00000204305	Q15109
AGPAT4	ENSG00000026652	Q9NRZ5
AGTPBP1	ENSG00000135049	Q9UPW5
AKAP11	ENSG00000023516	Q9UKA4
AKNA	ENSG00000106948	Q7Z591
AKR1C2	ENSG00000151632	P52895
AKR1C3	ENSG00000196139	P42330
AKR1C4	ENSG00000198610	P17516
AL121900.1	ENSG00000284776	
AL162231.1	ENSG00000187186	
AL357075.4	ENSG00000288520	G9CGD6
AL772284.1	ENSG00000277535	
ALDOC	ENSG00000109107	P09972
ALG1	ENSG00000033011	Q9BT22
ALG14	ENSG00000172339	Q96F25
ALG1L2	ENSG00000251287	C9J202
ALX3	ENSG00000156150	O95076
AMDHD2	ENSG00000162066	Q9Y303
AMPD3	ENSG00000133805	Q01432
ANAPC11	ENSG00000141552	Q9NYG5
ANG	ENSG00000214274	P03950
ANKEF1	ENSG00000132623	Q9NU02
ANKRD1	ENSG00000148677	Q15327
ANKRD18A	ENSG00000180071	Q8IVF6
ANKRD18B	ENSG00000230453	A2A2Z9
ANKRD20A1	ENSG00000260691	Q5TYW2
ANKRD30A	ENSG00000148513	Q9BXX3
ANKRD30B	ENSG00000180777	Q9BXX2
ANKRD31	ENSG00000145700	Q8N7Z5
ANKRD40	ENSG00000154945	Q6AI12
ANKRD49	ENSG00000168876	Q8WVL7
ANKS6	ENSG00000165138	Q68DC2
ANXA10	ENSG00000109511	Q9UJ72
AP002495.1	ENSG00000254469	Q6ZNB5
